Australia,17 Mar 2019,Alfa Romeo Racing Ferrari,15,0
Bahrain,31 Mar 2019,Alfa Romeo Racing Ferrari,11,0
China,14 Apr 2019,Alfa Romeo Racing Ferrari,15,0
Azerbaijan,28 Apr 2019,Alfa Romeo Racing Ferrari,12,0
Spain,12 May 2019,Alfa Romeo Racing Ferrari,16,0
Monaco,26 May 2019,Alfa Romeo Racing Ferrari,19,0
Canada,09 Jun 2019,Alfa Romeo Racing Ferrari,13,0
France,23 Jun 2019,Alfa Romeo Racing Ferrari,16,0
Austria,30 Jun 2019,Alfa Romeo Racing Ferrari,10,1
Great Britain,14 Jul 2019,Alfa Romeo Racing Ferrari,DNF,0
Germany,28 Jul 2019,Alfa Romeo Racing Ferrari,13,0
Hungary,04 Aug 2019,Alfa Romeo Racing Ferrari,18,0
Belgium,01 Sep 2019,Alfa Romeo Racing Ferrari,DNF,0
Italy,08 Sep 2019,Alfa Romeo Racing Ferrari,9,2
Singapore,22 Sep 2019,Alfa Romeo Racing Ferrari,10,1
Russia,29 Sep 2019,Alfa Romeo Racing Ferrari,15,0
Japan,13 Oct 2019,Alfa Romeo Racing Ferrari,14,0
Mexico,27 Oct 2019,Alfa Romeo Racing Ferrari,14,0
United States,03 Nov 2019,Alfa Romeo Racing Ferrari,14,0
Brazil,17 Nov 2019,Alfa Romeo Racing Ferrari,5,10
Abu Dhabi,01 Dec 2019,Alfa Romeo Racing Ferrari,16,0
