Australia,17 Mar 2019,Renault,DNF,0
Bahrain,31 Mar 2019,Renault,DNF,0
China,14 Apr 2019,Renault,7,6
Azerbaijan,28 Apr 2019,Renault,DNF,0
Spain,12 May 2019,Renault,12,0
Monaco,26 May 2019,Renault,9,2
Canada,09 Jun 2019,Renault,6,8
France,23 Jun 2019,Renault,11,0
Austria,30 Jun 2019,Renault,12,0
Great Britain,14 Jul 2019,Renault,7,6
Germany,28 Jul 2019,Renault,DNF,0
Hungary,04 Aug 2019,Renault,14,0
Belgium,01 Sep 2019,Renault,14,0
Italy,08 Sep 2019,Renault,4,12
Singapore,22 Sep 2019,Renault,14,0
Russia,29 Sep 2019,Renault,DNF,0
Japan,13 Oct 2019,Renault,DSQ,0
Mexico,27 Oct 2019,Renault,8,4
United States,03 Nov 2019,Renault,6,8
Brazil,17 Nov 2019,Renault,6,8
Abu Dhabi,01 Dec 2019,Renault,11,0
