Australia,17 Mar 2019,Racing Point BWT Mercedes,9,2
Bahrain,31 Mar 2019,Racing Point BWT Mercedes,14,0
China,14 Apr 2019,Racing Point BWT Mercedes,12,0
Azerbaijan,28 Apr 2019,Racing Point BWT Mercedes,9,2
Spain,12 May 2019,Racing Point BWT Mercedes,DNF,0
Monaco,26 May 2019,Racing Point BWT Mercedes,16,0
Canada,09 Jun 2019,Racing Point BWT Mercedes,9,2
France,23 Jun 2019,Racing Point BWT Mercedes,13,0
Austria,30 Jun 2019,Racing Point BWT Mercedes,14,0
Great Britain,14 Jul 2019,Racing Point BWT Mercedes,13,0
Germany,28 Jul 2019,Racing Point BWT Mercedes,4,12
Hungary,04 Aug 2019,Racing Point BWT Mercedes,17,0
Belgium,01 Sep 2019,Racing Point BWT Mercedes,10,1
Italy,08 Sep 2019,Racing Point BWT Mercedes,12,0
Singapore,22 Sep 2019,Racing Point BWT Mercedes,13,0
Russia,29 Sep 2019,Racing Point BWT Mercedes,11,0
Japan,13 Oct 2019,Racing Point BWT Mercedes,9,2
Mexico,27 Oct 2019,Racing Point BWT Mercedes,12,0
United States,03 Nov 2019,Racing Point BWT Mercedes,13,0
Brazil,17 Nov 2019,Racing Point BWT Mercedes,DNF,0
Abu Dhabi,01 Dec 2019,Racing Point BWT Mercedes,DNF,0
