Australia,17 Mar 2019,McLaren Renault,12,0
Bahrain,31 Mar 2019,McLaren Renault,6,8
China,14 Apr 2019,McLaren Renault,DNF,0
Azerbaijan,28 Apr 2019,McLaren Renault,8,4
Spain,12 May 2019,McLaren Renault,DNF,0
Monaco,26 May 2019,McLaren Renault,11,0
Canada,09 Jun 2019,McLaren Renault,DNF,0
France,23 Jun 2019,McLaren Renault,9,2
Austria,30 Jun 2019,McLaren Renault,6,8
Great Britain,14 Jul 2019,McLaren Renault,11,0
Germany,28 Jul 2019,McLaren Renault,DNF,0
Hungary,04 Aug 2019,McLaren Renault,9,2
Belgium,01 Sep 2019,McLaren Renault,DNF,0
Italy,08 Sep 2019,McLaren Renault,10,1
Singapore,22 Sep 2019,McLaren Renault,7,6
Russia,29 Sep 2019,McLaren Renault,8,4
Japan,13 Oct 2019,McLaren Renault,11,0
Mexico,27 Oct 2019,McLaren Renault,DNF,0
United States,03 Nov 2019,McLaren Renault,7,6
Brazil,17 Nov 2019,McLaren Renault,8,4
Abu Dhabi,01 Dec 2019,McLaren Renault,8,4
