Australia,17 Mar 2019,Red Bull Racing Honda,11,0
Bahrain,31 Mar 2019,Red Bull Racing Honda,8,4
China,14 Apr 2019,Red Bull Racing Honda,6,9
Azerbaijan,28 Apr 2019,Red Bull Racing Honda,DNF,0
Spain,12 May 2019,Red Bull Racing Honda,6,8
Monaco,26 May 2019,Red Bull Racing Honda,5,11
Canada,09 Jun 2019,Red Bull Racing Honda,8,4
France,23 Jun 2019,Red Bull Racing Honda,10,1
Austria,30 Jun 2019,Red Bull Racing Honda,7,6
Great Britain,14 Jul 2019,Red Bull Racing Honda,4,12
Germany,28 Jul 2019,Red Bull Racing Honda,DNF,0
Hungary,04 Aug 2019,Red Bull Racing Honda,6,8
Belgium,01 Sep 2019,Scuderia Toro Rosso Honda,9,2
Italy,08 Sep 2019,Scuderia Toro Rosso Honda,11,0
Singapore,22 Sep 2019,Scuderia Toro Rosso Honda,8,4
Russia,29 Sep 2019,Scuderia Toro Rosso Honda,14,0
Japan,13 Oct 2019,Scuderia Toro Rosso Honda,7,6
Mexico,27 Oct 2019,Scuderia Toro Rosso Honda,9,2
United States,03 Nov 2019,Scuderia Toro Rosso Honda,DNF,0
Brazil,17 Nov 2019,Scuderia Toro Rosso Honda,2,18
Abu Dhabi,01 Dec 2019,Scuderia Toro Rosso Honda,18,0
