Australia,17 Mar 2019,Mercedes,1,26
Bahrain,31 Mar 2019,Mercedes,2,18
China,14 Apr 2019,Mercedes,2,18
Azerbaijan,28 Apr 2019,Mercedes,1,25
Spain,12 May 2019,Mercedes,2,18
Monaco,26 May 2019,Mercedes,3,15
Canada,09 Jun 2019,Mercedes,4,13
France,23 Jun 2019,Mercedes,2,18
Austria,30 Jun 2019,Mercedes,3,15
Great Britain,14 Jul 2019,Mercedes,2,18
Germany,28 Jul 2019,Mercedes,DNF,0
Hungary,04 Aug 2019,Mercedes,8,4
Belgium,01 Sep 2019,Mercedes,3,15
Italy,08 Sep 2019,Mercedes,2,18
Singapore,22 Sep 2019,Mercedes,5,10
Russia,29 Sep 2019,Mercedes,2,18
Japan,13 Oct 2019,Mercedes,1,25
Mexico,27 Oct 2019,Mercedes,3,15
United States,03 Nov 2019,Mercedes,1,25
Brazil,17 Nov 2019,Mercedes,DNF,0
Abu Dhabi,01 Dec 2019,Mercedes,4,12
